sample_id,label,firing_rate_mean,firing_rate_std,population_rate_mean,population_rate_std,isi_mean,isi_std,isi_cv,synchrony_proxy,burst_count,burst_density,activity_entropy_mean,connectivity_mean,connectivity_std,graph_degree_mean,graph_degree_std,graph_clustering
pattern_a_0,pattern_a,0.63828125,0.06931145034146595,0.63828125,0.1809922062160067,1.5286624203821657,0.8783344803025833,0.5745771391979398,0.63828125,5.0,0.125,0.9289490867798713,0.17840107176640022,0.11247579730362278,1.6875,1.1301963325015703,0.026041666666666664
pattern_a_1,pattern_a,0.60234375,0.0869085760206523,0.60234375,0.1662411152466125,1.607577807848444,1.007547676154343,0.6267489332306897,0.60234375,4.0,0.1,0.9462377352941305,0.1693885915158437,0.10847041049593849,1.25,1.1989578808281798,0.03958333333333333
pattern_a_2,pattern_a,0.625,0.0793036096278095,0.625,0.2184149219375819,1.5286458333333333,0.892218816340834,0.5836661422059289,0.625,6.0,0.15,0.9343656721811998,0.2157631572588539,0.1208134921467818,4.0,1.9685019685029528,0.13958333333333334
pattern_a_3,pattern_a,0.60625,0.0667317390751957,0.60625,0.18656014445749125,1.603494623655914,1.005382633238911,0.6269947017013829,0.60625,3.0,0.075,0.9536817716736689,0.18538477390483876,0.11697326649653281,2.1875,1.6092991486979666,0.10416666666666666
pattern_a_4,pattern_a,0.60546875,0.07388080957486523,0.60546875,0.19107113521130684,1.6123822341857335,1.0469246660193074,0.649303027422659,0.60546875,5.0,0.125,0.9511455271483292,0.17919584225340685,0.11602315188396618,1.9375,1.2231491119238078,0.07291666666666666
pattern_a_5,pattern_a,0.6265625,0.07729243878769772,0.6265625,0.19984735385726277,1.5415584415584416,0.9955551410104698,0.6458108328374572,0.6265625,6.0,0.15,0.9349389057774224,0.1987722049665546,0.12488180908133024,2.9375,2.178553132241672,0.1455109126984127
pattern_a_6,pattern_a,0.61015625,0.08358644827923661,0.61015625,0.15229165776048767,1.6114819759679573,1.0373153027850741,0.6437027023910692,0.61015625,5.0,0.125,0.9424660558805321,0.16225205977690732,0.11145042428297894,1.3125,1.1021995055342748,0.06770833333333333
pattern_a_7,pattern_a,0.6171875,0.08063166154650417,0.6171875,0.17521610540629534,1.6055408970976253,0.9548216262931993,0.5947040203206616,0.6171875,5.0,0.125,0.9401242323928005,0.17503335721562735,0.11624336857954722,2.0625,1.4563975247163805,0.065625
pattern_a_8,pattern_a,0.66796875,0.06257319932237364,0.66796875,0.18810936137241416,1.4617253948967193,0.7876201522173708,0.538829081691518,0.66796875,3.0,0.075,0.9043847078530839,0.19188376924348582,0.12163659920094338,2.875,1.8157298807917437,0.21800595238095238
pattern_a_9,pattern_a,0.63046875,0.07227723724269973,0.63046875,0.16534284634037694,1.5354838709677419,0.8993002251201457,0.585678718040431,0.63046875,4.0,0.1,0.9339330621127356,0.16149816602949094,0.10889924987925094,1.4375,1.197327753791751,0.09375
pattern_a_10,pattern_a,0.5859375,0.06463161837483261,0.5859375,0.16693906775752043,1.6615598885793872,1.1324284631398291,0.6815453784865023,0.5859375,4.0,0.1,0.9661476251520179,0.15721658359389554,0.10713291471298382,1.125,0.9921567416492215,0.0
pattern_a_11,pattern_a,0.59296875,0.06441878820218136,0.59296875,0.1544406964207864,1.640990371389271,1.049856534990066,0.639770076226134,0.59296875,5.0,0.125,0.9624058999447245,0.15635465864292328,0.10208674506519022,0.875,0.7806247497997998,0.0
pattern_a_12,pattern_a,0.60703125,0.06380952337572739,0.60703125,0.18683312396611448,1.589261744966443,1.0022217560341105,0.6306209529099766,0.60703125,5.0,0.125,0.9542597477079435,0.1834485162733916,0.11781142371264076,2.25,1.5811388300841898,0.18125
pattern_a_13,pattern_a,0.61875,0.06555055301063446,0.61875,0.15280578972997064,1.5947368421052632,0.9902013002205404,0.6209183070689858,0.61875,4.0,0.1,0.9457305543572605,0.15666776669505864,0.10937471094599466,1.125,1.0231690964840563,0.07291666666666667
pattern_a_14,pattern_a,0.62890625,0.07424341695354207,0.62890625,0.20386733345103994,1.573091849935317,0.9455556218412918,0.6010809997395712,0.62890625,6.0,0.15,0.9342137321360596,0.1967223789229898,0.1285423922514388,3.875,1.6909686573085854,0.23623511904761904
pattern_a_15,pattern_a,0.590625,0.07519505884697478,0.590625,0.2008040478302168,1.6616022099447514,1.0326791187029303,0.6214959949633595,0.590625,5.0,0.125,0.9590232527663598,0.1875047667080748,0.11218194060945974,1.9375,1.1162856937182344,0.078125
pattern_a_16,pattern_a,0.6390625,0.08002380017063673,0.6390625,0.17412588612480914,1.525445292620865,0.927383178618311,0.607942600829018,0.6390625,4.0,0.1,0.9232668915239923,0.17330603312956933,0.11427244294276928,2.0625,1.27322179921646,0.06770833333333333
pattern_a_17,pattern_a,0.63203125,0.07812109365233887,0.63203125,0.19991300598244605,1.5444015444015444,0.9644372374423541,0.6244731112439242,0.63203125,6.0,0.15,0.9300341559186267,0.1976495000553034,0.11710917158664308,3.125,1.8666480653835098,0.15654761904761905
pattern_a_18,pattern_a,0.6375000000000001,0.0625,0.6375,0.1989719672466451,1.528061224489796,0.8416627835122099,0.5508043591599103,0.6375,7.0,0.175,0.9325547767033668,0.1936930501408032,0.12953293052407824,3.3125,1.5699820858850588,0.24375
pattern_a_19,pattern_a,0.6789062499999999,0.07156437634003038,0.67890625,0.20986271321613445,1.4408602150537635,0.762253607600563,0.5290267575138236,0.67890625,8.0,0.2,0.888593552754075,0.2257485011733836,0.1332335634938185,4.8125,2.4803918541230536,0.30304608585858583
pattern_a_20,pattern_a,0.690625,0.08046495743489833,0.690625,0.21444423080372202,1.3931924882629108,0.7578079615643006,0.5439362959164147,0.690625,9.0,0.225,0.8701685023337042,0.22988175662243343,0.13585397001396446,5.375,2.54644359843292,0.28823728354978356
pattern_a_21,pattern_a,0.66484375,0.06899370866925114,0.66484375,0.2033637419095093,1.4566544566544566,0.8174017273632957,0.5611500542418603,0.66484375,6.0,0.15,0.9046843601819408,0.20429949881116274,0.12503526171106658,3.625,1.5761900266148114,0.2604166666666667
pattern_a_22,pattern_a,0.6234375,0.07013867402332326,0.6234375,0.2050331051775542,1.5678851174934725,1.0025880178509525,0.639452474332914,0.6234375,6.0,0.15,0.9404162439200151,0.19460454057515078,0.11636933103888072,3.1875,1.6476782908080085,0.14419642857142856
pattern_a_23,pattern_a,0.6609375,0.07340424779091466,0.6609375,0.17095635179410562,1.4742014742014742,0.8859802321119576,0.6009899241159447,0.6609375,4.0,0.1,0.9069027955789146,0.17236959207319313,0.11479815363374667,2.0625,1.3905372163304368,0.15
pattern_a_24,pattern_a,0.6578124999999999,0.07406645559057082,0.6578125,0.1877537345667191,1.5234567901234568,0.9558489995084484,0.6274211423029523,0.6578125,5.0,0.125,0.9094536603193619,0.19427555429105522,0.13045862271239225,2.8125,2.037730048362638,0.28080357142857143
pattern_a_25,pattern_a,0.5859375,0.08407063157696627,0.5859375,0.1811085115855961,1.7103064066852367,1.1464756049738607,0.6703334563283648,0.5859375,4.0,0.1,0.9572991932067605,0.17358025785572628,0.11247646923441434,2.25,1.9525624189766635,0.09404761904761905
pattern_a_26,pattern_a,0.58671875,0.05589624002057294,0.58671875,0.17066155457787646,1.6578581363004172,1.0019682309957538,0.6043751326224388,0.58671875,4.0,0.1,0.96882098958225,0.16828426911239397,0.11418978259162009,1.4375,1.3213984069916234,0.041666666666666664
pattern_a_27,pattern_a,0.603125,0.07281987623581902,0.603125,0.17900004364524608,1.6094594594594596,1.075610313103106,0.668305316285725,0.603125,3.0,0.075,0.9526110341439354,0.17002251286903008,0.11126687577403623,1.5625,1.248436522214886,0.09375
pattern_a_28,pattern_a,0.64453125,0.07308342167302719,0.64453125,0.18136950532252522,1.5220680958385877,0.8898076419942432,0.5846043579962178,0.64453125,6.0,0.15,0.9218035063796973,0.1826263098698245,0.12755862978877722,2.75,1.695582495781317,0.22916666666666666
pattern_a_29,pattern_a,0.615625,0.0799780243254358,0.615625,0.19304306514350628,1.5714285714285714,0.9780276943031242,0.6223812600110791,0.615625,4.0,0.1,0.940619962519254,0.18306756668439406,0.1200280937811593,2.4375,1.6758859597239903,0.190625
pattern_a_30,pattern_a,0.6484375,0.06248046569728814,0.6484375,0.2001891195688467,1.4924812030075187,0.8176122758414117,0.5478208195813993,0.6484375,7.0,0.175,0.9232421492326597,0.1937832605692494,0.12412420969905215,3.375,1.7455300054711176,0.18578869047619048
pattern_a_31,pattern_a,0.6898437500000001,0.0675634467440605,0.68984375,0.2034117567237388,1.4065804935370152,0.7826880894717457,0.5564474220053932,0.68984375,6.0,0.15,0.8775702709224512,0.22055567122345807,0.13048157863350085,4.125,1.8157298807917437,0.2075892857142857
pattern_a_32,pattern_a,0.628125,0.0759702861321451,0.628125,0.20738325028796323,1.5712435233160622,0.9516018716057387,0.6056361458199755,0.628125,6.0,0.15,0.9343005353696904,0.20621771899997074,0.12477333222164368,4.25,2.6339134382131846,0.29461805555555554
pattern_a_33,pattern_a,0.6203125,0.06999930245188161,0.6203125,0.17891136728489332,1.578740157480315,0.9624004809655412,0.60960030465149,0.6203125,3.0,0.075,0.9427930515161858,0.18020982986960693,0.11701206587645625,2.3125,1.4882351124738322,0.026041666666666668
